,box_name,channel_name,time,value,label
22364,Box0,Approx. Altitude,3/23/2020 15:21,-57.2,2 people
22365,Box0,Pressure,3/23/2020 15:21,1020.139,2 people
22366,Box0,Temperature,3/23/2020 15:21,24.27,2 people
22367,Box0,C,3/23/2020 15:21,559,2 people
22368,Box0,B,3/23/2020 15:21,130,2 people
22369,Box0,G,3/23/2020 15:21,148,2 people
22370,Box0,R,3/23/2020 15:21,307,2 people
22371,Box0,Lumosity,3/23/2020 15:21,38,2 people
22372,Box0,Color Temp (K),3/23/2020 15:21,2907,2 people
22373,Box0,Audio,3/23/2020 15:21,0.229,2 people
22374,Box0,PIR,3/23/2020 15:21,1,2 people
22339,Box0,Magnet Z,3/23/2020 15:21,-21.25,2 people
22340,Box0,Magnet Y,3/23/2020 15:21,-20.375,2 people
22341,Box0,Magnet X,3/23/2020 15:21,10.875,2 people
22342,Box0,Accel Z,3/23/2020 15:21,9.46,2 people
22343,Box0,Accel Y,3/23/2020 15:21,1.2,2 people
22344,Box0,Accel X,3/23/2020 15:21,2.2,2 people
22345,Box0,Humidity,3/23/2020 15:21,22.348,2 people
22346,Box0,Approx. Altitude,3/23/2020 15:21,-57.438,2 people
22347,Box0,Pressure,3/23/2020 15:21,1020.168,2 people
22348,Box0,Temperature,3/23/2020 15:21,24.28,2 people
22349,Box0,C,3/23/2020 15:21,557,2 people
22350,Box0,B,3/23/2020 15:21,129,2 people
22351,Box0,G,3/23/2020 15:21,148,2 people
22352,Box0,R,3/23/2020 15:21,306,2 people
22353,Box0,Lumosity,3/23/2020 15:21,39,2 people
22354,Box0,Color Temp (K),3/23/2020 15:21,2899,2 people
22355,Box0,Audio,3/23/2020 15:21,0.283,2 people
22356,Box0,PIR,3/23/2020 15:21,1,2 people
22321,Box0,Magnet Z,3/23/2020 15:21,-20.87,2 people
22322,Box0,Magnet Y,3/23/2020 15:21,-19.562,2 people
22323,Box0,Magnet X,3/23/2020 15:21,10.187,2 people
22324,Box0,Accel Z,3/23/2020 15:21,9.49,2 people
22325,Box0,Accel Y,3/23/2020 15:21,1.21,2 people
22326,Box0,Accel X,3/23/2020 15:21,2.2,2 people
22327,Box0,Humidity,3/23/2020 15:21,22.416,2 people
22328,Box0,Approx. Altitude,3/23/2020 15:21,-57.02,2 people
22329,Box0,Pressure,3/23/2020 15:21,1020.117,2 people
22330,Box0,Temperature,3/23/2020 15:21,24.28,2 people
22331,Box0,C,3/23/2020 15:21,553,2 people
22332,Box0,B,3/23/2020 15:21,127,2 people
22333,Box0,G,3/23/2020 15:21,146,2 people
22334,Box0,R,3/23/2020 15:21,305,2 people
22335,Box0,Lumosity,3/23/2020 15:21,38,2 people
22336,Box0,Color Temp (K),3/23/2020 15:21,2886,2 people
22337,Box0,Audio,3/23/2020 15:21,0.557,2 people
22338,Box0,PIR,3/23/2020 15:21,1,2 people
22303,Box0,Magnet Z,3/23/2020 15:21,-20.06,2 people
22304,Box0,Magnet Y,3/23/2020 15:21,-19.25,2 people
22305,Box0,Magnet X,3/23/2020 15:21,9.75,2 people
22306,Box0,Accel Z,3/23/2020 15:21,9.45,2 people
22307,Box0,Accel Y,3/23/2020 15:21,1.21,2 people
22308,Box0,Accel X,3/23/2020 15:21,2.19,2 people
22309,Box0,Humidity,3/23/2020 15:21,22.485,2 people
22310,Box0,Approx. Altitude,3/23/2020 15:21,-57.232,2 people
22311,Box0,Pressure,3/23/2020 15:21,1020.143,2 people
22312,Box0,Temperature,3/23/2020 15:21,24.28,2 people
22313,Box0,C,3/23/2020 15:21,552,2 people
22314,Box0,B,3/23/2020 15:21,127,2 people
22315,Box0,G,3/23/2020 15:21,146,2 people
22316,Box0,R,3/23/2020 15:21,305,2 people
22317,Box0,Lumosity,3/23/2020 15:21,38,2 people
22318,Box0,Color Temp (K),3/23/2020 15:21,2878,2 people
22319,Box0,Audio,3/23/2020 15:21,0.205,2 people
22320,Box0,PIR,3/23/2020 15:21,1,2 people
22285,Box0,Magnet Z,3/23/2020 15:21,-20.5,2 people
22286,Box0,Magnet Y,3/23/2020 15:21,-19.562,2 people
22287,Box0,Magnet X,3/23/2020 15:21,10.187,2 people
22288,Box0,Accel Z,3/23/2020 15:21,9.48,2 people
22289,Box0,Accel Y,3/23/2020 15:21,1.2,2 people
22290,Box0,Accel X,3/23/2020 15:21,2.19,2 people
22291,Box0,Humidity,3/23/2020 15:21,22.52,2 people
22292,Box0,Approx. Altitude,3/23/2020 15:21,-57.242,2 people
22293,Box0,Pressure,3/23/2020 15:21,1020.144,2 people
22294,Box0,Temperature,3/23/2020 15:21,24.28,2 people
22295,Box0,C,3/23/2020 15:21,547,2 people
22296,Box0,B,3/23/2020 15:21,125,2 people
22297,Box0,G,3/23/2020 15:21,144,2 people
22298,Box0,R,3/23/2020 15:21,303,2 people
22299,Box0,Lumosity,3/23/2020 15:21,37,2 people
22300,Box0,Color Temp (K),3/23/2020 15:21,2870,2 people
22301,Box0,Audio,3/23/2020 15:21,0.098,2 people
22302,Box0,PIR,3/23/2020 15:21,1,2 people
22267,Box0,Magnet Z,3/23/2020 15:21,-22.5,2 people
22268,Box0,Magnet Y,3/23/2020 15:21,-20,2 people
22269,Box0,Magnet X,3/23/2020 15:21,10.187,2 people
22270,Box0,Accel Z,3/23/2020 15:21,9.47,2 people
22271,Box0,Accel Y,3/23/2020 15:21,1.21,2 people
22272,Box0,Accel X,3/23/2020 15:21,2.2,2 people
22273,Box0,Humidity,3/23/2020 15:21,22.543,2 people
22274,Box0,Approx. Altitude,3/23/2020 15:21,-57.284,2 people
22275,Box0,Pressure,3/23/2020 15:21,1020.149,2 people
22276,Box0,Temperature,3/23/2020 15:21,24.28,2 people
22277,Box0,C,3/23/2020 15:21,547,2 people
22278,Box0,B,3/23/2020 15:21,125,2 people
22279,Box0,G,3/23/2020 15:21,144,2 people
22280,Box0,R,3/23/2020 15:21,303,2 people
22281,Box0,Lumosity,3/23/2020 15:21,37,2 people
22282,Box0,Color Temp (K),3/23/2020 15:21,2870,2 people
22283,Box0,Audio,3/23/2020 15:21,0.234,2 people
22284,Box0,PIR,3/23/2020 15:21,1,2 people
22249,Box0,Magnet Z,3/23/2020 15:22,-20.5,2 people
22250,Box0,Magnet Y,3/23/2020 15:22,-20,2 people
22251,Box0,Magnet X,3/23/2020 15:22,9.75,2 people
22252,Box0,Accel Z,3/23/2020 15:22,9.44,2 people
22253,Box0,Accel Y,3/23/2020 15:22,1.22,2 people
22254,Box0,Accel X,3/23/2020 15:22,2.22,2 people
22255,Box0,Humidity,3/23/2020 15:22,22.531,2 people
22256,Box0,Approx. Altitude,3/23/2020 15:22,-56.957,2 people
22257,Box0,Pressure,3/23/2020 15:22,1020.11,2 people
22258,Box0,Temperature,3/23/2020 15:22,24.28,2 people
22259,Box0,C,3/23/2020 15:22,555,2 people
22260,Box0,B,3/23/2020 15:22,128,2 people
22261,Box0,G,3/23/2020 15:22,147,2 people
22262,Box0,R,3/23/2020 15:22,306,2 people
22263,Box0,Lumosity,3/23/2020 15:22,38,2 people
22264,Box0,Color Temp (K),3/23/2020 15:22,2886,2 people
22265,Box0,Audio,3/23/2020 15:22,0.239,2 people
22266,Box0,PIR,3/23/2020 15:22,1,2 people
22231,Box0,Magnet Z,3/23/2020 15:22,-19.25,2 people
22232,Box0,Magnet Y,3/23/2020 15:22,-20.375,2 people
22233,Box0,Magnet X,3/23/2020 15:22,10.187,2 people
22234,Box0,Accel Z,3/23/2020 15:22,9.47,2 people
22235,Box0,Accel Y,3/23/2020 15:22,1.23,2 people
22236,Box0,Accel X,3/23/2020 15:22,2.16,2 people
22237,Box0,Humidity,3/23/2020 15:22,22.497,2 people
22238,Box0,Approx. Altitude,3/23/2020 15:22,-57.348,2 people
22239,Box0,Pressure,3/23/2020 15:22,1020.157,2 people
22240,Box0,Temperature,3/23/2020 15:22,24.29,2 people
22241,Box0,C,3/23/2020 15:22,557,2 people
22242,Box0,B,3/23/2020 15:22,129,2 people
22243,Box0,G,3/23/2020 15:22,148,2 people
22244,Box0,R,3/23/2020 15:22,307,2 people
22245,Box0,Lumosity,3/23/2020 15:22,39,2 people
22246,Box0,Color Temp (K),3/23/2020 15:22,2894,2 people
22247,Box0,Audio,3/23/2020 15:22,0.312,2 people
22248,Box0,PIR,3/23/2020 15:22,1,2 people
22213,Box0,Magnet Z,3/23/2020 15:22,-20.06,2 people
22214,Box0,Magnet Y,3/23/2020 15:22,-20,2 people
22215,Box0,Magnet X,3/23/2020 15:22,10.187,2 people
22216,Box0,Accel Z,3/23/2020 15:22,9.49,2 people
22217,Box0,Accel Y,3/23/2020 15:22,1.22,2 people
22218,Box0,Accel X,3/23/2020 15:22,2.15,2 people
22219,Box0,Humidity,3/23/2020 15:22,22.439,2 people
22220,Box0,Approx. Altitude,3/23/2020 15:22,-57.063,2 people
22221,Box0,Pressure,3/23/2020 15:22,1020.122,2 people
22222,Box0,Temperature,3/23/2020 15:22,24.28,2 people
22223,Box0,C,3/23/2020 15:22,554,2 people
22224,Box0,B,3/23/2020 15:22,128,2 people
22225,Box0,G,3/23/2020 15:22,147,2 people
22226,Box0,R,3/23/2020 15:22,305,2 people
22227,Box0,Lumosity,3/23/2020 15:22,39,2 people
22228,Box0,Color Temp (K),3/23/2020 15:22,2891,2 people
22229,Box0,Audio,3/23/2020 15:22,0.234,2 people
22230,Box0,PIR,3/23/2020 15:22,1,2 people
22195,Box0,Magnet Z,3/23/2020 15:22,-20.5,2 people
22196,Box0,Magnet Y,3/23/2020 15:22,-19.562,2 people
22197,Box0,Magnet X,3/23/2020 15:22,9.75,2 people
22198,Box0,Accel Z,3/23/2020 15:22,9.37,2 people
22199,Box0,Accel Y,3/23/2020 15:22,1.2,2 people
22200,Box0,Accel X,3/23/2020 15:22,2.22,2 people
22201,Box0,Humidity,3/23/2020 15:22,22.416,2 people
22202,Box0,Approx. Altitude,3/23/2020 15:22,-57.11,2 people
22203,Box0,Pressure,3/23/2020 15:22,1020.128,2 people
22204,Box0,Temperature,3/23/2020 15:22,24.28,2 people
22205,Box0,C,3/23/2020 15:22,554,2 people
22206,Box0,B,3/23/2020 15:22,129,2 people
22207,Box0,G,3/23/2020 15:22,147,2 people
22208,Box0,R,3/23/2020 15:22,305,2 people
22209,Box0,Lumosity,3/23/2020 15:22,38,2 people
22210,Box0,Color Temp (K),3/23/2020 15:22,2904,2 people
22211,Box0,Audio,3/23/2020 15:22,0.205,2 people
22212,Box0,PIR,3/23/2020 15:22,1,2 people
22177,Box0,Magnet Z,3/23/2020 15:22,-20.5,2 people
22178,Box0,Magnet Y,3/23/2020 15:22,-19.562,2 people
22179,Box0,Magnet X,3/23/2020 15:22,9.062,2 people
22180,Box0,Accel Z,3/23/2020 15:22,9.37,2 people
